Name,InSize,Type,Val,Repeat,Reduce
batcher_sort,10, Time/s,0.002,10,0.0
batcher_sort,10, Gates/1e6,0.003,10,0.0
batcher_sort,10, Bytes/MB,0.101,10,0.0
quick_sort,10, Time/s,0.001,10,0.5
quick_sort,10, Gates/1e6,0.001,10,0.6666666666666666
quick_sort,10, Bytes/MB,0.024,10,0.7623762376237625
batcher_sort,20, Time/s,0.005,10,0.0
batcher_sort,20, Gates/1e6,0.01,10,0.0
batcher_sort,20, Bytes/MB,0.323,10,0.0
quick_sort,20, Time/s,0.003,10,0.4
quick_sort,20, Gates/1e6,0.002,10,0.8
quick_sort,20, Bytes/MB,0.08,10,0.7523219814241485
batcher_sort,30, Time/s,0.009,10,0.0
batcher_sort,30, Gates/1e6,0.017,10,0.0
batcher_sort,30, Bytes/MB,0.556,10,0.0
quick_sort,30, Time/s,0.006,10,0.33333333333333326
quick_sort,30, Gates/1e6,0.004,10,0.7647058823529412
quick_sort,30, Bytes/MB,0.122,10,0.7805755395683454
batcher_sort,40, Time/s,0.015,10,0.0
batcher_sort,40, Gates/1e6,0.029,10,0.0
batcher_sort,40, Bytes/MB,0.943,10,0.0
quick_sort,40, Time/s,0.008,10,0.4666666666666666
quick_sort,40, Gates/1e6,0.005,10,0.8275862068965517
quick_sort,40, Bytes/MB,0.172,10,0.8176033934252386
batcher_sort,50, Time/s,0.02,10,0.0
batcher_sort,50, Gates/1e6,0.041,10,0.0
batcher_sort,50, Bytes/MB,1.299,10,0.0
quick_sort,50, Time/s,0.012,10,0.4
quick_sort,50, Gates/1e6,0.008,10,0.8048780487804879
quick_sort,50, Bytes/MB,0.253,10,0.8052347959969206
batcher_sort,60, Time/s,0.024,10,0.0
batcher_sort,60, Gates/1e6,0.05,10,0.0
batcher_sort,60, Bytes/MB,1.588,10,0.0
quick_sort,60, Time/s,0.015,10,0.37500000000000006
quick_sort,60, Gates/1e6,0.01,10,0.7999999999999999
quick_sort,60, Bytes/MB,0.309,10,0.8054156171284635
batcher_sort,70, Time/s,0.032,10,0.0
batcher_sort,70, Gates/1e6,0.064,10,0.0
batcher_sort,70, Bytes/MB,2.055,10,0.0
quick_sort,70, Time/s,0.018,10,0.43750000000000006
quick_sort,70, Gates/1e6,0.012,10,0.8125
quick_sort,70, Bytes/MB,0.4,10,0.805352798053528
batcher_sort,80, Time/s,0.039,10,0.0
batcher_sort,80, Gates/1e6,0.081,10,0.0
batcher_sort,80, Bytes/MB,2.602,10,0.0
quick_sort,80, Time/s,0.021,10,0.4615384615384615
quick_sort,80, Gates/1e6,0.016,10,0.8024691358024691
quick_sort,80, Bytes/MB,0.504,10,0.8063028439661799
batcher_sort,90, Time/s,0.047,10,0.0
batcher_sort,90, Gates/1e6,0.097,10,0.0
batcher_sort,90, Bytes/MB,3.1,10,0.0
quick_sort,90, Time/s,0.025,10,0.4680851063829787
quick_sort,90, Gates/1e6,0.018,10,0.8144329896907216
quick_sort,90, Bytes/MB,0.563,10,0.8183870967741935
batcher_sort,100, Time/s,0.053,10,0.0
batcher_sort,100, Gates/1e6,0.111,10,0.0
batcher_sort,100, Bytes/MB,3.542,10,0.0
quick_sort,100, Time/s,0.027,10,0.49056603773584906
quick_sort,100, Gates/1e6,0.02,10,0.8198198198198198
quick_sort,100, Bytes/MB,0.629,10,0.8224167137210615
linear_search,1/10, Time/s,0.0,10,0.0
linear_search,1/10, Gates/1e6,0.001,10,0.0
linear_search,1/10, Bytes/MB,0.019,10,0.0
linear_search_opt,1/10, Time/s,0.0,10,0.0
linear_search_opt,1/10, Gates/1e6,0.0,10,1.0
linear_search_opt,1/10, Bytes/MB,0.005,10,0.7368421052631579
linear_search,1/20, Time/s,0.001,10,0.0
linear_search,1/20, Gates/1e6,0.001,10,0.0
linear_search,1/20, Bytes/MB,0.039,10,0.0
linear_search_opt,1/20, Time/s,0.001,10,0.0
linear_search_opt,1/20, Gates/1e6,0.0,10,1.0
linear_search_opt,1/20, Bytes/MB,0.012,10,0.6923076923076923
linear_search,1/30, Time/s,0.001,10,0.0
linear_search,1/30, Gates/1e6,0.002,10,0.0
linear_search,1/30, Bytes/MB,0.059,10,0.0
linear_search_opt,1/30, Time/s,0.001,10,0.0
linear_search_opt,1/30, Gates/1e6,0.0,10,1.0
linear_search_opt,1/30, Bytes/MB,0.011,10,0.8135593220338984
linear_search,1/40, Time/s,0.002,10,0.0
linear_search,1/40, Gates/1e6,0.002,10,0.0
linear_search,1/40, Bytes/MB,0.08,10,0.0
linear_search_opt,1/40, Time/s,0.001,10,0.5
linear_search_opt,1/40, Gates/1e6,0.0,10,1.0
linear_search_opt,1/40, Bytes/MB,0.013,10,0.8375
linear_search,1/50, Time/s,0.001,10,0.0
linear_search,1/50, Gates/1e6,0.003,10,0.0
linear_search,1/50, Bytes/MB,0.1,10,0.0
linear_search_opt,1/50, Time/s,0.001,10,0.0
linear_search_opt,1/50, Gates/1e6,0.001,10,0.6666666666666666
linear_search_opt,1/50, Bytes/MB,0.022,10,0.7800000000000001
linear_search,1/60, Time/s,0.002,10,0.0
linear_search,1/60, Gates/1e6,0.004,10,0.0
linear_search,1/60, Bytes/MB,0.12,10,0.0
linear_search_opt,1/60, Time/s,0.001,10,0.5
linear_search_opt,1/60, Gates/1e6,0.001,10,0.75
linear_search_opt,1/60, Bytes/MB,0.033,10,0.725
linear_search,1/70, Time/s,0.002,10,0.0
linear_search,1/70, Gates/1e6,0.004,10,0.0
linear_search,1/70, Bytes/MB,0.14,10,0.0
linear_search_opt,1/70, Time/s,0.001,10,0.5
linear_search_opt,1/70, Gates/1e6,0.001,10,0.75
linear_search_opt,1/70, Bytes/MB,0.029,10,0.7928571428571429
linear_search,1/80, Time/s,0.003,10,0.0
linear_search,1/80, Gates/1e6,0.005,10,0.0
linear_search,1/80, Bytes/MB,0.16,10,0.0
linear_search_opt,1/80, Time/s,0.002,10,0.3333333333333333
